+COPN: "34001","F-Orange"
+COPN: "34002","SFR"
+COPN: "34009","Free"
+COPN: "34020","Digicel"
+COPN: "342600","FLOW"
+COPN: "342750","DIGICEL"
+COPN: "344003","APUA inet"
+COPN: "344920","FLOW"
+COPN: "344930","Cingular"
+COPN: "346140","FLOW"
+COPN: "348170","FLOW"
+COPN: "348570","CCT Boatphone"
+COPN: "350000","CELLONE"
+COPN: "350002","BTC MOBILITY LTD."
+COPN: "35002","M3 WIRELESS"
+COPN: "35230","DIGICEL"
+COPN: "352110","FLOW"
+COPN: "354860","FLOW"
+COPN: "356110","FLOW"
+COPN: "358050","DIGICEL"
+COPN: "358110","FLOW"
+COPN: "36070","DIGICEL"
+COPN: "360110","FLOW"
+COPN: "36251","Telcell GSM"
+COPN: "36269","Digicel"
+COPN: "36278","Kla"
+COPN: "36291","CHIPPIE"
+COPN: "36301","SETAR"
+COPN: "36302","AW Digicel"
+COPN: "364039","BTC"
+COPN: "36449","aliv"
+COPN: "365840","FLOW"
+COPN: "366110","FLOW"
+COPN: "370001","ALTICE"
+COPN: "370002","CLARO DOM"
+COPN: "37004","Viva DO"
+COPN: "37005","Wind Telecom DO"
+COPN: "37203","Natcom"
+COPN: "37412","TSTT"
+COPN: "374130","Digicel"
+COPN: "376350","FLOW"
+COPN: "376352","IslandCom TCI"
+COPN: "376360","Digicel"
+COPN: "40001","AZEAC"
+COPN: "40002","BAKCELL AZ"
+COPN: "40004","AZ Nar"
+COPN: "40101","Beeline KZ"
+COPN: "40102","Kcell"
+COPN: "40107","ALTEL"
+COPN: "40177","Tele2"
+COPN: "40211","BT B-Mobile"
+COPN: "40277","TASHICELL"
+COPN: "40401","Vi India"
+COPN: "40402","IND airtel"
+COPN: "40403","IND airtel"
+COPN: "40405","Vi India"
+COPN: "40407","Vi India"
+COPN: "40410","IND airtel"
+COPN: "40411","Vi India"
+COPN: "40414","Vi India"
+COPN: "40415","Vi India"
+COPN: "40416","IND airtel"
+COPN: "40419","Vi India"
+COPN: "40420","Vi India"
+COPN: "40422","Vi India"
+COPN: "40427","Vi India"
+COPN: "40429","Aircel"
+COPN: "40430","Vi India"
+COPN: "40431","IND airtel"
+COPN: "40434","CellOne"
+COPN: "40438","CellOne"
+COPN: "40440","IND airtel"
+COPN: "40441","Aircel"
+COPN: "40443","Vi India"
+COPN: "40445","IND airtel"
+COPN: "40449","IND airtel"
+COPN: "40451","CellOne"
+COPN: "40453","CellOne"
+COPN: "40454","CellOne"
+COPN: "40455","CellOne"
+COPN: "40456","Vi India"
+COPN: "40457","CellOne"
+COPN: "40458","CellOne"
+COPN: "40459","CellOne"
+COPN: "40460","Vi India"
+COPN: "40462","CellOne"
+COPN: "40464","CellOne"
+COPN: "40466","CellOne"
+COPN: "40468","IN-DOLPHIN"
+COPN: "40469","IN-DOLPHIN"
+COPN: "40470","IND airtel"
+COPN: "40471","CellOne"
+COPN: "40472","CellOne"
+COPN: "40473","CellOne"
